Oyun Adı;Site Satış Fiyatı (TL);Site Alış Fiyatı (TL);Takas Farkı (TL)
Star Wars Jedi Survivor;1499;1000;499
Stellar Blade;2599;2000;599
Stray;1199;700;499
Street Fighter 6;1699;1200;499
Suicide Squad;1799;1100;699
The Callisto Protocol;1199;800;399
The Crew Motorfest;1499;1000;499
The Elder Scrolls IV Oblivion;1999;1400;599
The First Berserker : Khazan;2399;1700;699
The Last Of Us 1 Türkçe Dublaj;1699;1100;599
The Last Of Us 2 Türkçe Dublaj;1699;1100;599
The Quarry;799;550;249
The Thing;1499;1100;399
The Witcher 3 Wild Hunt;1399;800;599
Tekken 8;1699;1200;499
Tennis World Tour 2;1699;1100;599
Terminator Resistance;1699;1100;599
Test Drive Unlimited;1599;1100;499
Tiny Tina's Wonderlands;599;300;299
Tomb Raider 1-2-3 Remastered;1499;1000;499
Tomb Raider IV-V-VI Remastered;1699;1200;499
Truck Driver The American Dream;1799;1300;499
Truck & Logistics Simulator;1499;1000;499
Turtles The Cowabunga Collection;1299;800;499
Uncharted Legacy Of Thieves;1699;1100;599
Undisputed;1699;1200;499
Until Dawn;1699;1100;599
UFC 5;1699;1100;599
Watch Dogs Legion;699;400;299
Wo Long : Fallen Dynasty;1799;1200;599
Wu Chang : Fallen Feathers;1999;1400;599
WRC 9;899;600;299
WRC 10;1499;;
WRC Generations;1399;900;499
WWE 2K22;699;500;199
WWE 2K23;999;600;399
WWE 2K24;1299;800;499
WWE 2K25;1799;1300;499
WWE 2K26;2999;2300;699
Vampire The Masquerade Bloodlines 2;2299;1500;799
Alien Fireteam Elite;;900;
Farming Simulator 22;;800;
Ghost Of Tsushima Director's Cut;;1200;
Metro Exodus Complete Edition;;700;
Nioh Collection;;700;
Outriders;;400;
Resident Evil Village gold Edition;;1000;
WRC 10;;900;
